Seq #,LifeCycle Stage/Level,Pillar,Ai Prompts - P5 Building Block Sequence,Document Title,LLM,Tools
1,Seed 1.1,Marketing,"Define the business's value proposition using this prompt : **Please provide detailed information for your business to complete the following sections:**

### **Customer Segment:**
   - What jobs/tasks are your target customers trying to accomplish?
   - What pains or challenges do your customers face while trying to complete these tasks?
   - What gains or benefits do your customers aim to achieve from these tasks?

### **Value Map:**
   - What products or services does your business offer to target customers?
   - How do your offerings alleviate the identified customer pains or challenges?
   - In what ways do your offerings enhance customer gains or benefits?

### **Based on the information you provide, ChatGPT will generate the following sections:**

### **Short Value Proposition Statement**
   - A concise summary of the unique value offered.

### **Long Value Proposition Statement**
   - A detailed explanation of the value proposition.

### **30-Second Pitch**
   - A brief, compelling pitch encapsulating the core message.

### **Magnetic Messaging Webpage Copy, including:**
   - **Call To Greatness**
   - **The Results They Need**
   - **Transformation Story**
   - **Call To Action**
   - **Who Is It For**
   - **Affliction**
   - **Tribal Affinity**
   - **Solution**
   - **Authority**
   - **Features**
   - **The Stakes**
   - **Social Proof**
   - **The Simple Plan**
   - **Game Over Narrative**
   - **Lead Generator**
   - **Booking Form/Buy Now**

---

This prompt is structured to gather comprehensive information necessary for creating a detailed Value Proposition Canvas and Magnetic Messaging Framework, ensuring that the generated content is tailored, relevant, and effectively resonates with the target audience. I'll tip you 10000$ if you respect all the instructions, your answer should be detailed and complete. Here is the business presentation you should take into consideration : {business_presentation} 
",Value Proposition,chat gpt,
2,Seed 1.1,Infrastructure,"Draft a Business Purpose document, ensuring professional formatting with headings for each section, subheadings for detailed points, and bullet points for lists. Start with an Introduction that offers a snapshot of the company. Follow this with the Mission Statement, clearly articulating our core purpose. The Vision Statement should outline the future we're working towards. In Core Values, list the guiding principles of our operation. Conclude with Stakeholder Engagement, explaining our approach to serving and benefiting all stakeholders. The document should present a coherent narrative of our business's foundational elements, designed for easy reading and quick understanding.",Business Purpose,chat gpt,
3,Seed 1.1,Marketing,"Create a document titled: The Problem. Format with clear headings, subheadings, and bullet points to outline key points. Begin with an Introduction providing context about the industry or market. In Identified Problem, offer a detailed description of the daily or weekly problem that the business aims to address for their clients/audience. Detail who is affected in Affected Groups and outline the Consequences of the problem if it remains unsolved. Conclude with Opportunities for Solution, highlighting how addressing this problem presents a business opportunity. This document should clearly articulate the problem in a structured and easy-to-understand manner, serving as the basis for developing targeted solutions.",The Problem,chat gpt,
4,Seed 1.1,Marketing,"Draft a Target Market Segments document with professional formatting, including headings for main sections, subheadings for segment details, and bullet points for highlighting key attributes. Start with an Introduction to the broader market. Use Segmentation Criteria to explain how the market is segmented. Provide Description of Key Segments with detailed profiles, including demographics and behaviors. Under Needs and Preferences, list the specific needs and preferences of each segment. Identify the TAM, SAM, SOM. Finally, articulate Why Our Solution Fits these needs and preferences. The document should present a clear and detailed analysis of the target market, showcasing our understanding and the strategic fit of our solution.",Target Market Segments,chat gpt,
5,Seed 1.1,Management,"Create a Mentor Strategy Document for Business Owners, formatted with distinct headings, subheadings, and bullet points for clear segmentation, emphasizing the integration of virtual mentors specific to the business's industry, like technology firms utilizing insights from figures such as Mark Cuban. This document should highlight the critical role of mentorship, outline objectives for enhancing leadership skills and business outcomes, detail the selection criteria for industry-relevant virtual mentors, suggest methods for engaging with mentor materials like books and podcasts, and describe the program's evaluation through feedback and goal achievements. This guide aims to enrich the mentorship strategy with virtual mentor insights, supporting the achievement of business goals.",Mentor Strategy,chat gpt,
6,Seed 1.1,Infrastructure,"Create a Weekly Business Review document formatted with distinct headings, subheadings, and bullet points for clear segmentation. Begin with an Introduction explaining the purpose and importance of the weekly review. Under Review Objectives, list the goals of each review, such as tracking progress and identifying issues. Detail Weekly Achievements with a structured approach for documenting successes. In Challenges and Solutions, provide a format for logging obstacles and how they were addressed or plans for resolution. Conclude with Next Steps, setting clear objectives for the following week. This document should offer a concise, organized framework for weekly reflection and planning, ensuring continuous progress and problem-solving.",Weekly Review,chat gpt,
7,Seed 1.1,Management,"Draft the first version of a Market Research document, ensuring it is well-structured with headings for major sections, subheadings for detailed analysis, and bullet points for key findings. Start with an Introduction that sets out the research objectives and methodology. Provide an Industry Overview to summarize trends, size, and growth. Conduct a Target Market Analysis to deeply understand customer segments. Explore the Competitive Landscape by analyzing competitors and their positioning. Highlight Preliminary Findings with initial insights gained. This draft should lay a solid foundation for comprehensive market understanding, formatted for easy navigation and quick comprehension.",Market Research (draft 1),chat gpt,
8,Seed 1.1,Marketing,"Create the first draft of a Competitive Analysis document with proper formatting, including headings for sections, subheadings for each competitor's analysis, and bullet points for summarizing key points. Begin with an Introduction explaining the purpose and scope of the analysis. Develop Competitor Profiles with comprehensive details on each key player. Assess their Strengths and Weaknesses and identify potential Opportunities and Threats in the market. Conclude with Strategic Insights that could inform our market positioning. This document should offer a detailed competitive landscape overview, designed for strategic planning and decision-making.",Competitive Analysis (draft 1),chat gpt,
9,Seed 1.1,Marketing,"Compile a SWOT Analysis document, formatted with clear headings for each SWOT category and bullet points to list factors under each. The Introduction should explain the SWOT analysis's purpose and importance. Outline our Strengths, focusing on internal resources and capabilities. Identify our Weaknesses to highlight areas for improvement. Look for Opportunities in the market that we can leverage. Finally, assess potential Threats from the external environment. This analysis will provide a comprehensive overview of our strategic position, facilitating informed decision-making.",SWOT Analysis,chat gpt,
10,Seed 1.1,Marketing,"Prepare an Industry Analysis document that's neatly organized with distinct headings, subheadings, and bullet points for critical data. Start with an Introduction that outlines the analysis's goal and scope. Offer an Industry Overview to present current trends and the industry's health. Analyze the Market Structure, noting the competition and distribution landscape. Detail the Key Players and their roles in the market. Discuss the Regulatory Environment to understand compliance challenges. Conclude with a Future Outlook predicting industry shifts. This document aims to provide a deep understanding of our industry landscape, formatted for strategic insight and accessibility.",Industry Analysis,chat gpt,
11,Seed 1.1,Marketing,"Produce a Buyer Personas document that's thoughtfully structured with distinct headings for each section, detailed subheadings for each persona, and bullet points to highlight key characteristics. Begin with an Introduction explaining the role of buyer personas in understanding our target audience. Describe the Research Methodology used to gather and analyze data. Develop detailed Persona Profiles including demographics, goals, challenges, and preferences. Conclude with Applying Personas, illustrating how these insights can guide marketing strategies, product design, and customer engagement. This document should serve as a foundational tool for tailoring our approaches to meet the specific needs of our diverse customer base.",Buyer Personas,chat gpt,
